First name,Last name,State,Job,2016 Role,District,Next up for re-election:,Position on Trump,Source,Cook Political Report rating,Opposing Democrat,Dem Website
Don,Young,AK,Representative,Incumbent Representative,0,2016,Support,http://www.ktva.com/millett-calls-alaskans-stand-trump-colleagues-will-stand-521/,No,,
Dan,Sullivan,AK,Senator,Incumbent Senator,N/A,2020,Opposed after 2005 tape release,http://www.ktva.com/alaska-leaders-urge-trump-quit-presidential-race-following-lewd-comments-382/,No,,
Lisa,Murkowski,AK,Senator,Incumbent Senator,N/A,2016,Opposed after 2005 tape release,http://www.ktva.com/alaska-leaders-urge-trump-quit-presidential-race-following-lewd-comments-382/,No,,
Bradley,Byrne,AL,Representative,Incumbent Representative,1,2016,Support,http://www.al.com/news/mobile/index.ssf/2016/10/rep_bradley_byrne_clarifies_po.html,No,,
Martha,Roby,AL,Representative,Incumbent Representative,2,2016,Opposed after 2005 tape release,http://www.al.com/news/montgomery/index.ssf/2016/10/alabama_congresswoman_says_she.html,No,,
Mike,Rogers,AL,Representative,Incumbent Representative,3,2016,Endorser,http://www.wsj.com/articles/former-house-intel-chief-mike-rogers-to-play-big-role-on-donald-trumps-transition-team-1470770808,No,,
Robert,Aderholt,AL,Representative,Incumbent Representative,4,2016,Endorser,http://www.al.com/news/index.ssf/2016/08/alabama_congressman_robert_ade_1.html,No,,
Mo,Brooks,AL,Representative,Incumbent Representative,5,2016,Support,http://www.al.com/news/huntsville/index.ssf/2016/10/rep_mo_brooks_on_trump_hes_a_b.html,No,,
Gary,Palmer,AL,Representative,Incumbent Representative,6,2016,Support,http://www.montgomeryadvertiser.com/story/news/politics/southunionstreet/2016/10/08/martha-roby-condemns-trump-says-she-wont-vote-him/91784328/,No,,
Jeff,Sessions,AL,Senator,Incumbent Senator,N/A,2020,Endorser,http://www.politico.com/story/2016/02/sen-jeff-sessions-endorses-trump-219939,Not up for re-election,,
Robert,Bentley,AL,Governor,Incumbent Governor,N/A,2018,Opposed after 2005 tape release,http://whnt.com/2016/10/08/gov-bentley-says-he-can-no-longer-vote-for-trump/,Not up for re-election,,
Richard,Shelby,AL,Senator,Incumbent Senator,N/A,2016,Support,http://www.al.com/news/index.ssf/2016/03/sen_richard_shelby_addresses_p.html,No,,
Rick,Crawford,AR,Representative,Incumbent Representative,1,2016,Support,http://kasu.org/post/crawford-talks-trump-transgender-bathrooms-nyit-do-medical-school-and-more-kasu#stream/0,No,,
French,Hill,AR,Representative,Incumbent Representative,2,2016,Support,http://katv.com/news/political/majority-of-arkansas-republicans-say-they-will-support-donald-trump,No,,
Steve,Womack,AR,Representative,Incumbent Representative,3,2016,Support,http://katv.com/news/political/majority-of-arkansas-republicans-say-they-will-support-donald-trump,No,,
Bruce,Westerman,AR,Representative,Incumbent Representative,4,2016,Support,http://www.bloomberg.com/politics/articles/2016-07-13/some-republicans-to-skip-trump-convention-by-heading-overseas,No,,
Tom,Cotton,AR,Senator,Incumbent Senator,N/A,2020,Support,http://ktar.com/story/1056689/sen-john-mccain-two-other-senators-will-support-donald-trump-as-gop-nominee/,Not up for re-election,,
John,Boozman,AR,Senator,Incumbent Senator,N/A,2016,Support,https://talkbusiness.net/2016/08/sen-boozman-continues-to-support-trump-amid-falling-poll-numbers-and-controversies/,No,,
Asa,Hutchinson,AR,Governor,Incumbent Governor,N/A,2018,Support,http://www.arktimes.com/ArkansasBlog/archives/2016/05/04/gov-asa-hutchinson-now-backs-donald-trump-for-president,Not up for re-election,,
Paul,Babeu,AZ,Candidate,Candidate for Representative,1,2016,Endorser,https://www.youtube.com/watch?v=7dBUSu-dAgo,Toss-Up,Tom O'Halleran,http://www.tomohalleran.com/
Martha,McSally,AZ,Representative,Incumbent Representative,2,2016,Unsure or won't say,http://www.tucsonweekly.com/TheRange/archives/2016/07/25/martha-mcsally-is-not-endorsing-donald-trump-so-you-can-stop-asking-about-it,Lean Republican,Matt Heinz,http://www.heinzforarizona.com/#intro
Paul,Gosar,AZ,Representative,Incumbent Representative,4,2016,Endorser,http://gosar4congress.com/press-releases-1/2016/7/27/paul-gosar-endorses-donald-trump-for-president-time-to-unite,No,,
Andy,Biggs,AZ,Candidate,Candidate for Representative,5,2016,Support,http://www.azcentral.com/story/news/politics/elections/2016/05/25/arizona-republican-establishment-donald-trump/84209120/,No,,
David,Schweikert,AZ,Representative,Incumbent Representative,6,2016,Support,http://www.azcentral.com/story/news/politics/elections/2016/05/25/arizona-republican-establishment-donald-trump/84209120/,No,,
Eve,Nunez,AZ,Candidate,Candidate for Representative,7,2016,Unknown,,No,,
Trent,Franks,AZ,Representative,Incumbent Representative,8,2016,Support,http://www.azcentral.com/story/news/politics/elections/2016/05/25/arizona-republican-establishment-donald-trump/84209120/,No,,
Dave,Giles,AZ,Candidate,Candidate for Representative,9,2016,Unknown,,No,,
Doug,Ducey,AZ,Governor,Incumbent Governor,N/A,2018,Endorser,http://www.azcentral.com/story/news/politics/elections/2016/08/30/doug-ducey-speak-before-donald-trump-takes-stage/89608586/,Not up for re-election,,
Jeff,Flake,AZ,Senator,Incumbent Senator,N/A,2018,Opposed before 2005 tape release,http://www.politico.com/story/2016/09/jeff-flake-arizona-clinton-trump-mccain-227723,Not up for re-election,,
John,McCain,AZ,Senator,Incumbent Senator,N/A,2016,Opposed after 2005 tape release,https://www.buzzfeed.com/andrewkaczynski/three-senators-say-they-disagree-with-trump-but-will-support?utm_term=.frnOrp0aX#.pmnxMQ7WP,Lean Republican,Ann Kirkpatrick,http://www.kirkpatrickforsenate.com/
Doug,LaMalfa,CA,Representative,Incumbent Representative,1,2016,Support,http://www.sfchronicle.com/politics/article/California-Republicans-are-falling-in-place-7463130.php,No,,
Dale,Mensing,CA,Candidate,Candidate for Representative,2,2016,Unknown,,No,,
Eugene,Cleek,CA,Candidate,Candidate for Representative,3,2016,Unknown,,No,,
Tom,McClintock,CA,Representative,Incumbent Representative,4,2016,Support,http://www.kcra.com/news/some-republicans-worry-about-trump-effect-on-ca-races/39386808,No,,
Carlos,Santamaria,CA,Candidate,Candidate for Representative,5,2016,Unknown,,No,,
